"Numri i stafit akademik dhe administrativ sipas gjinisë 2016/2018, në Universitetin e Prizrenit Ukshin Hoti"

"viti";"fakulteti/programi i studimit";"Të rregullt Femra";"Të rregullt Meshkuj";"Të angazhuar Femra";"Të angazhuar Meshkuj"
"2017/2018";"Siguri Publike";2;7;3;27
"2017/2018";"Gjithsej";2;7;3;27
