"Numri i stafit akademik dhe administrativ sipas gjinisë 2016/2018, në Universitetin Haxhi Zeka Pejë"

"viti";"fakulteti /programi i studimit";"Të rregullt Femra";"Të rregullt Meshkuj";"Të angazhuar Femra";"Të angazhuar Meshkuj"
"2017/2018";"Fakulteti i Biznesit";11;16;2;29
"2017/2018";"Fakulteti i Menaxhimit në Turizëm, Hotelieri dhe Mjedis";7;4;5;5
"2017/2018";"Fakulteti Juridik";4;4;1;18
"2017/2018";"Fakulteti i Agrobiznesit";3;15;7;19
"2017/2018";"Fakulteti i Arteve";5;5;4;15
"2017/2018";"Administrata qendrore";:;:;:;-
"2017/2018";"Gjithsej";30;44;19;86
