"Numri i përgjithshëm i studentëve qe studiojnë në nivelin master në Fakultetin e studimeve islame, 2015-2018"

"viti";"programi i studimit";"Viti i I Femra";"Viti i I Meshkuj";"Viti i I Gjithsej"
"2017/2018";"Teologjia Islame nga konteksti evropian";-;-;-
"2017/2018";"Teologji Islame";6;16;22
